year,month,hero,role,ability,change,is_nerf,is_buff,skins,days_since_release
2022,November,dva,tank,Call Mech,Cost reduced by 12%,0,1,,
2022,November,dva,tank,Fusion Cannons,Spread increased to 3.75,1,0,,
2022,November,dva,tank,Boosters,damage reduced to 15,1,0,,
2022,November,zarya,tank,Particle Barrier,duration reduced to 2 second,1,0,,
2022,November,zarya,tank,Particle Barrier,cooldown increased to 11 second,1,0,,
2022,November,zarya,tank,Projected Barrier,duration reduced to 2 second,1,0,,
2022,November,zarya,tank,Projected Barrier,Cooldown increased to 11 second,1,0,,
2022,November,genji,damage,Shuriken,ammo reduced to 24,1,0,,
2022,November,genji,damage,Shuriken,damage reduced to 27,1,0,,
2022,November,junkrat,damage,Steel Trap,arming time increased to 0.75 second,1,0,,
2022,November,junkrat,damage,Steel Trap,duration trapped reduced to 2.5 second,1,0,,
2022,November,sombra,damage,Hack,duration reduced to 1.5 second,1,0,,
2022,November,sombra,damage,Hack,Hacked enemies no longer valid targets for hacking for duration of effect,1,0,,
2022,November,sombra,damage,Hack,damage multiplier reduced to 25%,1,0,,
2022,November,kiriko,tank,Swift Step,invulnerability duration reduced to 0.25 second,1,0,,
2022,December,doomfist,tank,Rocket Punch,cooldown increased to 4 second,1,0,,
2022,December,doomfist,tank,Power Block,minimum damage mitigated to empower rocket punch increased to 100 damage,1,0,,
2022,December,doomfist,tank,The Best Defense...',temporary health gained per target hit decreased to 35 health,1,0,,
2022,December,orisa,tank,Terra Surge,pierces through barriers,0,1,,
2022,December,orisa,tank,Fusion Driver,damage falloff range increased to 25m,0,1,,
2022,December,ramattra,tank,Nemesis Form,movement speed increased by 20%,0,1,,
2022,December,ramattra,tank,Nemesis Form,armor bonus increased to 225,0,1,,
2022,December,ramattra,tank,Void Barrier,cooldown reduced to 13 second,0,1,,
2022,December,sojourn,damage,Railgun,primary fire spread increased by 28%,1,0,,
2022,December,sojourn,damage,Disruptor Shot,no longer slows enemies,1,0,,
2022,December,sojourn,damage,Power Slide,cooldown increased to 7 second,1,0,,
2022,December,tracer,damage,Pulse Pistols,damage reduced to 5.5,1,0,,
2022,December,ana,support,Biotic Rifle,damage/healing increased to 75,0,1,,
2022,December,ana,support,Biotic Grenade,duration increased to 4 second,0,1,,
2022,December,kiriko,support,Protection Suzu,invulnerability duration reduced to 0.85 second,1,0,,
2023,January,orisa,tank,Fortify,health bonus reduced to 75,1,0,,
2023,January,roadhog,tank,Scrap Gun,recovery time reduced to 0.8 second,0,1,,
2023,January,roadhog,tank,Scrap Gun,reload time reduced to 1.75 second,0,1,,
2023,January,roadhog,tank,Scrap Gun,maximum ammo increased to 6,0,1,,
2023,January,roadhog,tank,Scrap Gun,damage/pellet reduced to 6,1,0,,
2023,January,roadhog,tank,Chain Hook,enemy final distance increased to 4,1,0,,
2023,January,roadhog,tank,Chain Hook,impact damage reduced to 5,1,0,,
2023,January,sojourn,support,Railgun,energy gain based on hit against enemy player,0,1,,
2023,January,sojourn,support,Railgun,primary fire damage/projectile reduced to 9,1,0,,
2023,January,kiriko,support,Healing Ofuda,recovery time increased to 1 second,1,0,,
2023,March,orisa,tank,Terra Surge,Terra Surge can be interrupted by Sombra’s Hack,1,0,,
2023,March,ramattra,tank,Annihilation,Using Annihilation while in Nemesis Form refreshes bonus armor,0,1,,
2023,March,roadhog,tank,Chain Hook,cooldown reduced to 6 second,0,1,,
2023,March,roadhog,tank,Chain Hook,cooldown starts when ability ends instead of when ability start,1,0,,
2023,March,wrecking ball,tank,Minefield,arming time increased to 1.25 second,1,0,,
2023,March,zarya,tank,Particle Barrier,Shared cooldown for Particle Barrier and Projected Barrier reduced to 10 second,1,0,,
2023,March,ashe,damage,B.O.B.,B.O.B. now prefers to shoot at enemy targets that Ashe damages with her rifle,0,1,,
2023,March,hanzo,damage,Lunge,cooldown decreased to 4 second,0,1,,
2023,March,mei,damage,Blizzard,ultimate cast time reduced to 0.4 second,0,1,,
2023,March,pharah,damage,Jump Jet,movement now influenced by directional inputs,0,1,,
2023,March,sojourn,damage,hit_points,Torso hit volume width increased by 20%,1,0,,
2023,March,baptiste,support,Immortality Field,minimum health threshold increased to 25%,0,1,,
2023,April,lifeweaver,support,Healing Blossom,Ammo count increased to 20 ,0,1,,
2023,April,lifeweaver,support,Healing Blossom,Slow now steadily applies after 1 secondof max charge being held,0,1,,
2023,April,lifeweaver,support,Thorn Volley,Projectile Size reduced from .125 to .1,0,1,,
2023,April,lifeweaver,support,Thorn Volley,"Spread pattern adjusted, with random spread reduced. 1 of the 2 projectiles per shot now fires closer to the crosshair",0,1,,
2023,April,lifeweaver,support,Tree of Life,Health increased from 1000 to 1200,0,1,,
2023,April,lifeweaver,support,Tree of Life,Healing pulse increased from 50 to 75,0,1,,
2023,April,lifeweaver,support,Parting Gift (passive),Removed from game,1,0,,
2023,May,junker queen,tank,Scattergun,Maximum ammo increased from 6 to 8,0,1,,
2023,May,junker queen,tank,Jagged Blade,Projectile size increased from 0.15 to 0.20 meters,0,1,,
2023,May,junker queen,tank,Rampage,Now deals 40 impact damage,0,1,,
2023,May,junker queen,tank,Rampage,Wound damage decreased from 100 to 60,1,0,,
2023,May,junker queen,tank,Adrehit_pointsline Rush,Adrenaline passive healing multiplier increased from 1.25 to 2x damage dealt by wounds,0,1,,
2023,May,orisa,tank,Augmented Fusion Driver,Damage increased from 12 to 13,0,1,,
2023,May,winston,tank,Jet Pack,Damage radius before falloff begins increased from 1 to 1.3 meters,0,1,,
2023,May,wrecking ball,tank,Adaptive Shield,Effect duration decreased from 9 to 7 second,1,0,,
2023,May,echo,damage,Duplicate,Ultimate cost reduced 25%,0,1,,
2023,May,echo,damage,Duplicate,Ultimate generation decreased from 5.5x to 4x while Duplicate is active,1,0,,
2023,May,junkrat,damage,Concussion Mine,Maximum damage increased from 100 to 110,0,1,,
2023,May,ana,support,Biotic Grenade,Explosion healing decreased from 100 to 60,1,0,,
2023,May,baptiste,support,Immortality Field,Cooldown decreased from 25 to 23 second,0,1,,
2023,May,kiriko,support,Kuhit_pointsi,Kunai reloads after 65% percent of the animation has completed (formerly 75%),0,1,,
2023,May,kiriko,support,Kuhit_pointsi,"New Hero option: ""Healing Ofuda Cancels Reload""",0,1,,
2023,May,lifeweaver,support,Life Grip,"Reinhardt is no longer a valid target for Life Grip during Earthshatter, and using Earthshatter will cancel Life Grip.",1,0,,
2023,June,Cassidy,damage,Magnetic Grenade,Seeking radius lowered from 1.5 to 1.3 meters.,1,0,,
2023,June,Cassidy,damage,Magnetic Grenade,Homing duration lowered from 1 to 0.75 second.,1,0,,
2023,June,Mei,damage,Endothermic Blaster,Maximum slow applied by primary fire reduced from 50% to 40%,1,0,,
2023,June,Mei,damage,Endothermic Blaster,Primary fire damage per secondincreased from 55 to 70,0,1,,
2023,June,Mei,damage,Deep Chill (Passive),Maximum slow applied when this effect activates reduced from 75% to 65%.,1,0,,
2023,June,lifeweaver,support,Thorn Volley,Increased the number of projectiles to reach maximum spread from 0 to 20,0,1,,
2023,June,lifeweaver,support,Thorn Volley,Maximum ammo increased from 70 to 80,0,1,,
2023,July,orisa,tank,Fortify,Damage reduction increased from 40 to 50%,0,1,,
2023,July,ramattra,tank,Ravenous Vortex,The projectile now passes through enemy heroes but is still blocked by barriers.,0,1,,
2023,July,reinhardt,tank,Barrier Field,Maximum health increased from 1200 to 1400,0,1,,
2023,July,wrecking ball,tank,Quad Cannons,Manual reload time reduced from 2 to 1.6 second.,0,1,,
2023,July,sojourn,damage,Railgun,Number of shots to reach maximum spread increased from 8 to 12,0,1,,
2023,July,sojourn,damage,Railgun,Spread reduced by 12%,0,1,,
2023,July,soldier: 76,damage,Heavy pulse rifle,Damage increased from 18 to 19,0,1,,
2023,July,soldier: 76,damage,Helix rockets,Explosion damage increased from 80 to 90,0,1,,
2023,July,soldier: 76,damage,Biotic FIeld,Healing per secondincreased from 35 to 40,0,1,,
2023,July,symmetra,damage,Photon Projector,Secondary Fire maximum impact damage increased from 45 to 50,0,1,,
2023,July,symmetra,damage,Photon Projector,Secondary Fire maximum explosion damage increased from 45 to 50,0,1,,
2023,July,symmetra,damage,Photon Projector,Regenerate up to 30 shield health per second when primary fire deals damage to barriers or enemies with shield health.,0,1,,
2023,July,symmetra,damage,Sentry Turret,Damage per secondreduced from 40 to 25,1,0,,
2023,July,symmetra,damage,Sentry Turret,Turrets now reveal enemy heroes to allies while dealing damage and for 1 additional second afterwards,0,1,,
2023,July,torbjorn,damage,Rivet Gun,Secondary Fire spread reduced from 5 to 4.5 degrees,1,0,,
2023,July,torbjorn,damage,Deploy Turret,Damage reduced from 14 to 11,1,0,,
2023,July,torbjorn,damage,Deploy Turret,Cooldown increased from 10 to 12 second,1,0,,
2023,July,torbjorn,damage,Overload,Now reloads 6 ammo on use,0,1,,
2023,July,kiriko,support,Healing Ofuda,Recovery reduced from 1 to 0.9 second,0,1,,
2023,July,zenyatta,support,Orb of Discord,Maximum range reduced from 40 to 30 meters,1,0,,
2023,July,zenyatta,support,Orb of Discord,Time to wear off the target when not in line-of-sight reduced from 2 to 1.5 second,1,0,,
2023,August,illari,support,Healing Pylon,Heal decreased from 40 to 30,1,0,,
2023,August,illari,support,Healing Pylon,Shields decreased from 75 to 50,1,0,,
2023,August,illari,support,Captive Sun,Projectile Impact and explosion are now blocked by barriers,1,0,,
2023,August,illari,support,Captive Sun,Projectile size decreased from 1.5 to 0.75 meters,1,0,,
2023,August,illari,support,Captive Sun,Sunstruck duration decreased from 7 to 6 second,1,0,,
2023,September,bastion,damage,Reconfigure,No longer restores armor when transforming,1,0,,
2023,October,dva,tank,Fusion Cannons,Movement speed penalty reduced from 40 to 30%,0,1,,
2023,October,dva,tank,Micro Missiles,Projectile speed increased from 40 to 50,0,1,,
2023,October,doomfist,tank,Rocket Punch,Minimum wall stun duration decreased from 0.25 to 0.15 second,1,0,,
2023,October,doomfist,tank,Rocket Punch,Maximum wall stun duration decreased from 0.75 to 0.6 second,1,0,,
2023,October,winston,tank,Tesla Cannon,Secondary fire range increased from 30 to 40 meters,0,1,,
2023,October,bastion,damage,Configuration: Assault,Cooldown increased from 10 to 12 second,1,0,,
2023,October,bastion,damage,Configuration: Assault,Weapon spread increased 10%,1,0,,
2023,October,cassidy,damage,Magnetic Grenade,Cooldown increased from 10 to 12 second,1,0,,
2023,October,mei,damage,Endothermic Blaster,Slow effect decreased from 40 to 30%,1,0,,
2023,October,sombra,damage,EMP,Ultimate cost decreased 10%,0,1,,
2023,October,symmetra,damage,hit_points,Base shield health reduced from 125 to 100 (total 200 HP,0,1,,
2023,October,widowmaker,damage,Widow's Kiss,Unscoped shots to reach maximum spread increased from 3 to 7,1,0,,
2023,October,widowmaker,damage,Infra-Sight,Ultimate cost reduced 10%,0,1,,
2023,October,ana,support,Biotic Grenade,Cooldown increased from 10 to 12 second,1,0,,
2023,October,baptiste,support,Immortality Field,Health decreased from 150 to 125,1,0,,
2023,October,baptiste,support,Immortality Field,Cooldown increased from 23 to 25 second,1,0,,
2023,October,illari,support,Solar Rifle,Primary fire projectile size reduced from 0.1 to 0.05 meters,1,0,,
2023,October,illari,support,Healing Pylon,Base health reduced from 75 to 50 (total 100 HP),1,0,,
2023,October,illari,support,Healing Pylon,Cooldown when destroyed increased from 12 to 15 second,1,0,,
2023,October,kiriko,support,Protection Suzu,Cooldown increased from 14 to 15 second,1,0,,
2023,October,lifeweaver,support,Healing Blossom,Ammo reduced from 20 to 16,1,0,,
2023,October,lifeweaver,support,Healing Blossom,Max heal reduced from 75 to 70,1,0,,
2023,October,lifeweaver,support,Life Grip,Cooldown increased from 16 to 19 second,1,0,,
2023,October,zenyatta,support,Harmony Orb,Time to wear off when not in line-of-sight increased from 3 to 5 second,0,1,,
2023,October,zenyatta,support,Orb of Discord,Can no longer be reapplied to the same target for 7 second after the effect has been removed,1,0,,
2023,October,zenyatta,support,Orb of Discord,Range increased from 30 to 40 meters,0,1,,
2023,November,roadhog,tank,Take a Breather,Total healing increased from 450 to 500,0,1,,
2023,November,roadhog,tank,Take a Breather,Damage reduction increased from 30 to 40%,0,1,,
2023,November,roadhog,tank,Take a Breather,Maximum duration reduced from 3 to 2.5 second,1,0,,
2023,November,roadhog,tank,Take a Breather,Recharge time reduced from 12 to 10 second,1,0,,
2023,November,roadhog,tank,Take a Breather,Cooldown for each use decreased from 8 second to 1 second,0,1,,
2023,November,roadhog,tank,Take a Breather,Take a Breather requires 12 second to reach full charge from empty,1,0,,
2023,November,roadhog,tank,Scrap Gun,Total damage per shot increased from 150 to 160,0,1,,
2023,November,roadhog,tank,Scrap Gun,Shotgun pellet count reduced from 25 to 16,1,0,,
2023,November,roadhog,tank,Scrap Gun,Shotgun pellet damage increased from 6 to 6.25,0,1,,
2023,November,roadhog,tank,Scrap Gun,Critical damage multiplier reduced from 2x to 1.5x,1,0,,
2023,November,roadhog,tank,Pig Pen,Ability added to game,0,1,,
2023,December,mauga,tank,Incendiary and Volatile Chainguns,Chaingun damage reduced from 5 to 4.,1,0,,
2023,December,mauga,tank,Incendiary and Volatile Chainguns,The number of shots with the Incendiary Chaingun to ignite enemies increased from 10 to 15.,1,0,,
2023,December,mauga,tank,Cage Fight,Ultimate duration reduced from 10 to 8 second,1,0,,
2023,December,doomfist,tank,Meteor Strike,Now regenerates 75 health per secondwhile in the air,0,1,,
2023,December,doomfist,tank,Meteor Strike,Ultimate cost increased 16%,1,0,,
2023,December,junker queen,tank,Scattergun,Spread reduced 8%,0,1,,
2023,December,mauga,tank,Incendiary and Volatile Chainguns,Spread for firing both guns reduced 15%.,0,1,,
2023,December,mauga,tank,Incendiary and Volatile Chainguns,Fire rate multiplier for firing both guns reduced from 25% to 0%.,1,0,,
2023,December,mauga,tank,Incendiary and Volatile Chainguns,Damage per shot increased from 4.5 to 5.,0,1,,
2023,December,mauga,tank,Incendiary and Volatile Chainguns,Damage falloff range increased from 25 to 30 meters.,0,1,,
2023,December,mauga,tank,Incendiary and Volatile Chainguns,Max ammo increased from 300 to 350.,0,1,,
2023,December,mauga,tank,Incendiary and Volatile Chainguns,Movement speed penalty reduced from 20% to 15% per gun.,0,1,,
2023,December,mauga,tank,Overrun,Can no longer be interrupted by Hack.,0,1,,
2023,December,mauga,tank,Overrun,Damage reduction increased from 30 to 50%.,0,1,,
2023,December,mauga,tank,Cardiac Overdrive,Lifesteal increased from 60 to 70%,0,1,,
2023,December,mauga,tank,Berserker,Overhealth conversion rate increased from 40% to 50%,0,1,,
2023,December,ramattra,tank,hit_points,Base health reduced from 300 to 200,1,0,,
2023,December,ramattra,tank,hit_points,Base armor increased from 0 to 100.,0,1,,
2023,December,ramattra,tank,Void Accelerator,Projectile size increased from 0.075 to 0.1 meters.,0,1,,
2023,December,ramattra,tank,Void Accelerator,Damage increased from 4.5 to 5.,0,1,,
2023,December,sigma,tank,Experimental Barrier,Regeneration rate reduced from 100 to 85 health per second.,1,0,,
2023,December,winston,tank,Tesla Cannon,Now ignores armor damage reduction.,0,1,,
2023,December,mei,damage,Endothermic Blaster,Maximum ammo reduced from 150 to 120.,1,0,,
2023,December,Soldier: 76,damage,Biotic FIeld,Cooldown increased from 15 to 18 second.,1,0,,
2023,December,sombra,damage,EMP,Ability lockout duration increased from 1.5 to 3 second,0,1,,
2023,December,sombra,damage,EMP,Damage reduced from 30 to 25% of current health.,1,0,,
2023,December,torbjorn,damage,Overload,Overhealth increased from 75 to 100.,0,1,,
2023,December,tracer,damage,Pulse Pistols,Damage increased from 5.5 to 6.,0,1,,
2023,December,baptiste,support,Biotic Launcher,Primary fire ammo reduced from 45 to 36.,1,0,,
2023,December,brigitte,support,Whip Shot,Damage reduced from 80 to 70.,1,0,,
2023,December,kiriko,support,Healing Ofuda,Projectile speed increased from 14 to 18 meters per second.,0,1,,
2023,January,kiriko,support,Protection Suzu,Invulnerability duration reduced from 0.85 to 0.65 second.,1,0,,
2023,February,kiriko,support,Protection Suzu,Healing explosion increased from 40 to 80 health.,0,1,,
2023,December,mercy,support,Valkyrie,Activating Valkyrie no longer disconnects Caduceus Staff from its target.,0,1,,
2023,December,mauga,tank,hit_points,Base health decreased from 350 to 250,1,0,,
2023,December,mauga,tank,hit_points,Base armor increased from 150 to 250,0,1,,
2023,December,mauga,tank,Incendiary and Volatile Chainguns,Number of shots with the Incendiary Chaingun to ignite enemies reverted from 15 to 10,1,0,,
2023,December,mauga,tank,Incendiary and Volatile Chainguns,Spread decreased from 1.1 to 1 when only one Chaingun is active.,0,1,,
2023,December,mauga,tank,Berserker,Overhealth conversion rate increased from 50% to 60%,0,1,,
2024,January,mauga,tank,Berserker,Overhealth conversion rate decreased from 60% to 50%.,1,0,,
2024,January,mauga,tank,Incendiary and Volatile Chainguns,"Ammo decreased from 350 to 300.
",1,0,,
2024,January,mauga,tank,Cardiac Overdrive,Lifesteal decreased from 70% to 60%.,1,0,,
2024,January,mauga,tank,Cardiac Overdrive,Cooldown increased from 10 second to 12 second.,1,0,,
2024,January,mauga,tank,hit_points,Base Health increased from 250 to 300.,0,1,,
2024,January,mauga,tank,hit_points,Base Armor decreased from 250 to 200.,1,0,,
2024,January,mauga,tank,Cage Fight,No longer grants infinite ammo. Still reloads Mauga’s Chainguns at the start of the ultimate,1,0,,
2024,January,orisa,tank,Augmented Fusion Driver,Removed falloff damage penalty.,0,1,,
2024,January,orisa,tank,Fortify,Now immune to taking forced critical hit damage,0,1,,
2024,January,roadhog,tank,Take a Breather,Total amount healed reduced from 500 to 450.,1,0,,
2024,January,roadhog,tank,Take a Breather,Cooldown between usages increased from 1 to 1.5 second.,1,0,,
2024,January,sojourn,damage,Railgun,Gradual energy no longer decays below 25%,0,1,,
2024,January,sombra,damage,Stealth,Grace period where Stealth can be canceled immediately after entering it increased from 0.5 to 0.75 second,0,1,,
2024,January,sombra,damage,Stealth,Cooldown now pauses at 1 secondwhile capturing or contesting objectives from 1.5 second,0,1,,
2024,January,sombra,damage,Stealth,Cooldown on respawning decreased from 1.5 to 1 second,0,1,,
2024,January,ana,support,Biotic Grenade,Effect duration reduced from 3.5 to 3 second,1,0,,
2024,January,illari,support,Solar Rifle,"rimary fire charge gain is no longer paused by secondary fire, nor channeling Captive Sun",0,1,,
2024,January,illari,support,Solar Rifle,Ammo increased from 14 to 16.,0,1,,
2024,January,illari,support,Captive Sun,Now fully refills secondary fire resource and resets overheated status.,0,1,,
2024,January,illari,support,Captive Sun,Removed the damage falloff penalty on the Sunstruck explosion,0,1,,
2024,January,lifeweaver,support,Thorn Volley,Projectile speed increased from 70 to 80 meters per second,0,1,,
2024,January,lifeweaver,support,Petal Platform,No longer pierced by piercing projectiles,0,1,,
2024,February,zenyatta,support,hit_points,Health increased from 75 to 100,0,1,,
2024,February,zenyatta,support,hit_points,Shields increased from 150 to 175,0,1,,
2024,February,moira,support,hit_points,Health increased from 200 to 250,0,1,,
2024,February,moira,support,Biotic Grasp,Secondary fire damage increased from 50 to 65 damage per second,0,1,,
2024,February,moira,support,Biotic Grasp,Secondary fire target acquisition radius increased from 0.6 to 0.7 meters.,0,1,,
2024,February,mercy,support,hit_points,Health increased from 200 to 250.,0,1,,
2024,February,mercy,support,Gaurdian Angel,Active duration on jump/crouch cancel reduced from 1.5 to 1 second,0,1,,
2024,February,mercy,support,Sympathetic Recovery,Health recovered increased from 25% to 40% of healing dealt,0,1,,
2024,February,lucio,support,hit_points,Health increased from 200 to 250,0,1,,
2024,February,lucio,support,Soundwave,Damage increased from 25 to 35,0,1,,
2024,February,lucio,support,Soundwave,Knockback increased 12%,0,1,,
2024,February,lucio,support,Soundwave,Movement lockout duration increased from 0.3 to 0.45 second,0,1,,
2024,February,lifeweaver,support,hit_points,Health increased from 175 to 225,0,1,,
2024,February,kiriko,support,hit_points,Health increased from 200 to 250,0,1,,
2024,February,kiriko,support,Kuhit_pointsi,Base projectile size reduced from 0.18 to 0.15 meters,1,0,,
2024,February,illari,support,hit_points,Health increased from 200 to 250,0,1,,
2024,February,brigitte,support,hit_points,Health increased from 150 to 200,0,1,,
2024,February,brigitte,support,Rocket Flail,Damage increased from 35 to 45,0,1,,
2024,February,ana,support,hit_points,Health increased from 200 to 250,0,1,,
2024,February,baptiste,support,hit_points,Health increased from 200 to 250,0,1,,
2024,February,widowmaker,damage,hit_points,Health increased from 175 to 200,0,1,,
2024,February,tracer,damage,hit_points,Health increased from 150 to 175,0,1,,
2024,February,torbjorn,damage,hit_points,Health increased from 200 to 250,0,1,,
2024,February,symmetra,damage,hit_points,Shields increased from 100 to 150,0,1,,
2024,February,symmetra,damage,Photon Projector,Primary fire beam width increased from 0.2 to 0.25 meters,0,1,,
2024,February,sombra,damage,hit_points,Health increased from 200 to 250,0,1,,
2024,February,soldier: 76,damage,hit_points,Health increased from 200 to 250,0,1,,
2024,February,sojourn,damage,hit_points,Health increased from 200 to 250,0,1,,
2024,February,sojourn,damage,Railgun,Secondary Fire base projectile size reduced from 0.1 to 0.07 meters,1,0,,
2024,February,reaper,damage,hit_points,Health increased from 250 to 300,0,1,,
